BKC,Tuzla,BA,2020-02-14T19:00:00.000Z,2020-02-14T20:00:00+01:00,co,2754,µg/m³,44.5319444444444,18.6547222222222,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Skver,Tuzla,BA,2020-02-14T19:00:00.000Z,2020-02-14T20:00:00+01:00,no2,40.5,µg/m³,44.5408333333333,18.6733333333333,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
BKC,Tuzla,BA,2020-02-14T18:00:00.000Z,2020-02-14T19:00:00+01:00,no2,48.9,µg/m³,44.5319444444444,18.6547222222222,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Lukavac,Lukavac,BA,2020-02-14T18:00:00.000Z,2020-02-14T19:00:00+01:00,no2,50.4,µg/m³,44.5333027777778,18.5348916666667,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Živinice,Živinice,BA,2020-02-14T18:00:00.000Z,2020-02-14T19:00:00+01:00,co,1836,µg/m³,44.4538888888889,18.6483333333333,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Lukavac,Lukavac,BA,2020-02-14T18:00:00.000Z,2020-02-14T19:00:00+01:00,co,2716,µg/m³,44.5333027777778,18.5348916666667,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Lukavac,Lukavac,BA,2020-02-14T18:00:00.000Z,2020-02-14T19:00:00+01:00,o3,8.7,µg/m³,44.5333027777778,18.5348916666667,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Lukavac,Lukavac,BA,2020-02-14T18:00:00.000Z,2020-02-14T19:00:00+01:00,so2,26.5,µg/m³,44.5333027777778,18.5348916666667,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Bukinje,Tuzla,BA,2020-02-14T18:00:00.000Z,2020-02-14T19:00:00+01:00,so2,31.7,µg/m³,44.5236111111111,18.6002777777778,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Lukavac,Lukavac,BA,2020-02-14T18:00:00.000Z,2020-02-14T19:00:00+01:00,pm25,48,µg/m³,44.5333027777778,18.5348916666667,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Bukinje,Tuzla,BA,2020-02-14T18:00:00.000Z,2020-02-14T19:00:00+01:00,pm25,22.1,µg/m³,44.5236111111111,18.6002777777778,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
BKC,Tuzla,BA,2020-02-14T18:00:00.000Z,2020-02-14T19:00:00+01:00,pm25,136.2,µg/m³,44.5319444444444,18.6547222222222,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
